,NAME,c_race,c_white,c_black,c_asian,c_latinx,state_fips,county_fips,tract_fips,med_rent,med_hhinc,c_tenants,c_owners,c_renters,c_movers,c_stay,c_movelocal,c_movecounty,c_movestate,c_moveabroad,c_commute,c_car,c_carpool,c_transit,c_bike,c_walk,year,FIPS_11_digit,p_white,p_black,p_asian,p_latinx,p_owners,p_renters,p_stay,p_movelocal,p_movecounty,p_movestate,p_moveabroad,p_car,p_carpool,p_transit,p_bike,p_walk
11345,"Census Tract 110, San Francisco County, California",4792,2491,86,1884,318,6,75,11000,2042.0,121299.0,2497,418,2079,4775,4031,242,324,43,135,3560,468,287,1443,183,830,2018,06075011000,0.5198247078464107,0.0179465776293823,0.3931552587646077,0.06636060100166945,0.16740088105726872,0.8325991189427313,0.8441884816753926,0.05068062827225131,0.06785340314136126,0.009005235602094241,0.028272251308900525,0.13146067415730334,0.08061797752808987,0.4053370786516854,0.05140449438202247,0.2331460674157303
11720,"Census Tract 260.04, San Francisco County, California",5011,579,85,2333,1788,6,75,26004,1800.0,95655.0,1301,848,453,4975,4600,201,148,26,0,2641,1227,353,827,51,105,2018,06075026004,0.11554579924166833,0.01696268209938136,0.4655757333865496,0.3568150069846338,0.6518063028439662,0.3481936971560338,0.9246231155778896,0.040402010050251264,0.029748743718592964,0.005226130653266332,0.0,0.4645967436577054,0.13366149185914428,0.31313896251419915,0.019310867095797046,0.039757667550170385
11721,"Census Tract 301.01, San Francisco County, California",5045,2940,55,1214,519,6,75,30101,2179.0,122264.0,2061,639,1422,4920,3809,545,308,208,50,3056,998,214,1192,197,252,2018,06075030101,0.5827552031714569,0.010901883052527254,0.2406342913776016,0.10287413280475717,0.31004366812227074,0.6899563318777293,0.7741869918699187,0.11077235772357724,0.06260162601626018,0.04227642276422764,0.01016260162601626,0.3265706806282723,0.0700261780104712,0.3900523560209424,0.06446335078534031,0.0824607329842932
11722,"Census Tract 330, San Francisco County, California",8425,2843,10,4317,814,6,75,33000,2220.0,100907.0,2824,1865,959,8352,7483,481,297,59,32,4498,2055,524,1551,20,74,2018,06075033000,0.3374480712166172,0.0011869436201780415,0.5124035608308606,0.0966172106824926,0.6604107648725213,0.33958923512747874,0.8959530651340997,0.057590996168582376,0.035560344827586216,0.007064176245210728,0.0038314176245210726,0.4568697198755002,0.11649622054246332,0.3448199199644286,0.004446420631391729,0.0164517563361494
11723,"Census Tract 254.03, San Francisco County, California",5050,1321,570,1387,1625,6,75,25403,1487.0,109118.0,1408,812,596,5013,4505,298,78,106,26,2553,1294,243,655,105,58,2018,06075025403,0.2615841584158416,0.11287128712871287,0.2746534653465347,0.3217821782178218,0.5767045454545454,0.4232954545454545,0.8986634749650908,0.059445441851186914,0.015559545182525432,0.02114502294035508,0.005186515060841812,0.5068546807677242,0.09518213866039953,0.2565609087348218,0.04112808460634548,0.0227183705444575
11724,"Census Tract 264.01, San Francisco County, California",3548,132,335,2560,461,6,75,26401,1530.0,75156.0,1003,735,268,3490,3342,119,18,11,0,1742,933,229,483,0,25,2018,06075026401,0.03720405862457723,0.09441939120631343,0.7215332581736189,0.12993235625704622,0.7328015952143571,0.26719840478564305,0.957593123209169,0.034097421203438394,0.005157593123209169,0.003151862464183381,0.0,0.5355912743972445,0.1314580941446613,0.2772675086107922,0.0,0.014351320321469576
11725,"Census Tract 302.02, San Francisco County, California",4487,2301,117,1356,426,6,75,30202,2029.0,123139.0,2095,613,1482,4450,3876,287,136,62,89,2879,795,209,1213,99,338,2018,06075030202,0.5128147983062179,0.02607532872743481,0.3022063739692445,0.09494094049476264,0.2926014319809069,0.7073985680190931,0.8710112359550561,0.06449438202247193,0.030561797752808987,0.013932584269662922,0.02,0.2761375477596388,0.0725946509204585,0.4213268496005558,0.03438693990969086,0.1174018756512678
11726,"Census Tract 353, San Francisco County, California",7309,2202,0,4244,521,6,75,35300,1885.0,93375.0,2573,1764,809,7208,6655,311,131,0,111,3541,1621,476,1004,0,95,2018,06075035300,0.3012724038856205,0.0,0.5806539882336845,0.07128198111916816,0.6855810338126701,0.31441896618732995,0.9232796892341842,0.043146503884572696,0.01817425083240844,0.0,0.015399556048834627,0.457780288054222,0.13442530358655747,0.2835357243716464,0.0,0.02682857949731714
11727,"Census Tract 476, San Francisco County, California",5605,2208,58,2537,324,6,75,47600,2092.0,103676.0,2324,886,1438,5526,4781,555,107,32,51,3233,1334,291,943,161,281,2018,06075047600,0.3939339875111508,0.010347903657448709,0.4526315789473685,0.05780553077609276,0.3812392426850258,0.6187607573149742,0.8651827723488962,0.1004343105320304,0.019363011219688742,0.00579080709373869,0.009229098805646038,0.4126198577172904,0.09000927930714507,0.29167955459325706,0.04979894834519023,0.08691617692545624
11728,"Census Tract 106, San Francisco County, California",3356,1249,55,1886,121,6,75,10600,1033.0,40380.0,1797,199,1598,3343,2892,170,93,81,107,1964,308,35,491,81,898,2018,06075010600,0.3721692491060787,0.01638855780691299,0.5619785458879618,0.03605482717520858,0.110740122426266,0.889259877573734,0.8650912354172898,0.0508525276697577,0.027819323960514508,0.024229733772061026,0.032007179180376905,0.15682281059063136,0.017820773930753563,0.25,0.04124236252545825,0.4572301425661914
11729,"Census Tract 208, San Francisco County, California",6399,2437,97,1075,2394,6,75,20800,1446.0,103134.0,2719,394,2325,6379,5250,345,523,247,14,4502,810,107,1896,607,460,2018,06075020800,0.38084075636818254,0.015158618534145959,0.1679949992186279,0.37412095639943743,0.1449062155204119,0.8550937844795881,0.8230130114438,0.05408371218059257,0.08198777237811569,0.03872080263364164,0.0021947013638501326,0.1799200355397601,0.023767214571301643,0.4211461572634385,0.1348289649044869,0.10217681030653043
