NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2499,c_rent2999,c_rent3499,c_rent3500,med_rent,med_hhinc,year,state_fips,county_fips,tract_fips,FIPS_11_digit
"Census Tract 5335.01, Los Angeles County, California",735,526,526,0,0,0,0,0,5,0,0,0,0,0,0,0,19,55,25,92,162,77,91,0,0,0,0,1103.0,42127.0,2018,06,037,533501,06037533501
"Census Tract 5336.01, Los Angeles County, California",1101,939,926,0,0,0,12,0,12,0,7,7,0,0,0,13,40,24,88,52,195,206,223,47,0,0,0,1266.0,40734.0,2018,06,037,533601,06037533601
"Census Tract 5348.03, Los Angeles County, California",1173,717,690,0,0,0,0,0,0,0,0,0,0,0,24,19,18,0,52,201,89,162,113,12,0,0,0,1087.0,41106.0,2018,06,037,534803,06037534803
"Census Tract 5356.03, Los Angeles County, California",955,619,613,0,0,0,0,0,0,0,0,0,0,0,3,15,22,23,28,150,165,137,59,11,0,0,0,1099.0,41467.0,2018,06,037,535603,06037535603
"Census Tract 5408, Los Angeles County, California",1481,490,433,0,0,0,9,47,16,0,0,0,0,0,0,0,0,9,16,26,162,38,99,0,11,0,0,1144.0,65371.0,2018,06,037,540800,06037540800
"Census Tract 5359.02, Los Angeles County, California",1547,439,419,0,0,0,0,0,0,0,0,6,0,27,12,15,0,0,48,17,46,102,105,8,33,0,0,1344.0,73262.0,2018,06,037,535902,06037535902
"Census Tract 5401.02, Los Angeles County, California",1551,699,687,17,0,0,0,0,0,22,0,0,36,0,0,0,0,0,42,0,210,135,134,69,22,0,0,1281.0,58237.0,2018,06,037,540102,06037540102
"Census Tract 5405.02, Los Angeles County, California",1478,1289,1289,0,0,0,0,0,0,30,0,19,13,9,18,14,21,31,113,220,355,223,136,48,39,0,0,1110.0,35987.0,2018,06,037,540502,06037540502
"Census Tract 5413, Los Angeles County, California",1500,476,450,0,0,0,0,24,0,8,0,0,0,0,0,0,0,0,0,13,141,32,167,65,0,0,0,1521.0,48034.0,2018,06,037,541300,06037541300
"Census Tract 5414, Los Angeles County, California",1639,882,855,0,0,0,8,20,0,0,0,0,21,0,23,0,9,40,29,10,192,206,196,86,15,0,0,1342.0,44661.0,2018,06,037,541400,06037541400
"Census Tract 5081.01, Santa Clara County, California",2301,891,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,33,101,111,162,411,3424.0,195764.0,2018,06,085,508101,06085508101
"Census Tract 5092.02, Santa Clara County, California",1863,985,956,0,0,0,11,20,0,11,60,26,0,0,26,0,0,12,7,0,9,36,193,173,192,114,66,2194.0,140677.0,2018,06,085,509202,06085509202
"Census Tract 5093.04, Santa Clara County, California",1407,810,801,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,59,43,106,215,142,127,92,2408.0,125273.0,2018,06,085,509304,06085509304
"Census Tract 5094.01, Santa Clara County, California",1714,1363,1344,0,0,0,27,34,8,6,8,8,0,0,0,16,0,0,8,0,28,90,363,354,166,159,69,2107.0,99348.0,2018,06,085,509401,06085509401
