NAME,c_tenants,c_renters,c_rentcash,c_rent100,c_rent149,c_rent199,c_rent249,c_rent299,c_rent349,c_rent399,c_rent449,c_rent499,c_rent549,c_rent599,c_rent649,c_rent699,c_rent749,c_rent799,c_rent899,c_rent999,c_rent1249,c_rent1499,c_rent1999,c_rent2000,med_rent,med_hhinc,state_fips,county_fips,tract_fips,year,FIPS_11_digit
"Census Tract 1282.20, Los Angeles County, California",1199,873,859,0,0,0,0,0,0,0,0,0,0,0,0,0,58,20,112,41,272,194,80,3423169,1182.0,38910.0,06,037,128220,2018,06037128220
"Census Tract 1236.01, Los Angeles County, California",1885,1258,1199,0,0,0,0,0,41,21,0,0,7,21,7,0,0,0,80,73,236,326,248,1082308,1337.0,54283.0,06,037,123601,2018,06037123601
"Census Tract 1235.10, Los Angeles County, California",1619,1155,1080,0,0,24,0,37,40,24,0,0,0,0,0,0,0,0,84,161,230,209,174,751408,1185.0,47292.0,06,037,123510,2018,06037123510
"Census Tract 1235.20, Los Angeles County, California",874,519,519,0,0,0,0,3,17,0,0,11,0,0,0,4,8,11,29,21,211,70,89,1023120,1184.0,53098.0,06,037,123520,2018,06037123520
"Census Tract 1237, Los Angeles County, California",1423,619,596,0,0,0,0,0,35,0,21,0,0,0,0,8,10,0,0,42,132,111,179,53500,1363.0,66726.0,06,037,123700,2018,06037123700
"Census Tract 1241.02, Los Angeles County, California",1409,1066,1056,0,0,0,0,0,0,0,0,0,0,0,19,0,7,15,83,29,233,210,298,12910230,1419.0,46723.0,06,037,124102,2018,06037124102
"Census Tract 1242.01, Los Angeles County, California",1177,597,597,0,0,0,0,0,0,0,0,12,0,0,0,13,0,0,0,25,184,179,84,376300,1340.0,52917.0,06,037,124201,2018,06037124201
"Census Tract 1252, Los Angeles County, California",1585,1008,984,0,0,0,0,0,0,0,0,0,0,0,0,7,16,22,44,17,208,226,316,1012700,1447.0,64219.0,06,037,125200,2018,06037125200
"Census Tract 1253.10, Los Angeles County, California",2022,1559,1559,0,20,0,16,13,0,0,0,0,0,0,0,36,103,53,52,40,324,144,349,1681721455,1463.0,53022.0,06,037,125310,2018,06037125310
"Census Tract 1272.10, Los Angeles County, California",1833,1307,1300,0,0,0,18,26,18,17,0,15,11,26,0,0,20,0,69,110,418,260,253,918120,1191.0,51658.0,06,037,127210,2018,06037127210
"Census Tract 1310.20, Los Angeles County, California",1610,732,724,0,29,0,0,0,0,0,19,0,0,0,9,8,7,0,16,24,180,56,331,271080,1521.0,67500.0,06,037,131020,2018,06037131020
"Census Tract 2949, Los Angeles County, California",908,621,610,0,0,17,35,52,10,9,0,12,22,11,16,10,10,11,37,78,136,52,75,17000,968.0,39712.0,06,037,294900,2018,06037294900
"Census Tract 3002, Los Angeles County, California",1853,484,462,0,0,0,0,50,0,0,0,12,0,0,0,0,0,0,0,7,31,14,143,90119014,1909.0,94688.0,06,037,300200,2018,06037300200
"Census Tract 2181.10, Los Angeles County, California",1141,800,800,0,0,0,8,41,9,0,0,0,0,0,15,0,21,18,69,29,188,126,260,16000,1254.0,43073.0,06,037,218110,2018,06037218110
