APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,date_submit,vli_dr,vli_ndr,li_dr,li_ndr,mi_dr,mi_ndr,ami,proposed,approved,disapproved,SB35,notes
,3540081,941 14TH ST,,2018-016754PRL,2 to 4,O,2018-12-10,0,0,0,0,0,0,1,1,1,0,No,
,1755019,1266 07TH AV,,2018-016445PRL,2 to 4,O,2018-11-15,0,0,0,0,0,0,1,1,1,0,No,
,1288018,1208 STANYAN ST,,2018-016038PRL,2 to 4,O,2018-11-07,0,0,0,0,0,0,1,1,1,0,No,
,0092005,30 ROACH ST,,2018-003364PRJ,ADU,R,2018-03-02,0,0,0,0,0,1,0,1,1,0,No,
,4914013,2847 INGALLS ST,,2018-004672PRJ,2 to 4,O,2018-01-22,0,0,0,0,0,0,1,1,1,0,No,
,4914013,2847 INGALLS ST,,2018-004672PRJ,SFD,O,2018-01-22,0,0,0,0,0,0,1,1,1,0,No,
,1240007,820 WALLER ST,,2018-005375PRJ,ADU,R,2018-01-25,0,0,0,0,0,1,0,1,1,0,No,
,7084001,195 RALSTON ST,,2018-006393PRJ,ADU,R,2018-04-26,0,0,0,0,0,1,0,1,1,0,No,
,0221032,1263 CLAY ST,,2018-006863PRJ,SFD,O,2018-09-17,0,0,0,0,0,0,1,1,1,0,No,
,2706025,66 MOUNTAIN SPRING AV,,2018-007763PRJ,SFD,O,2018-05-17,0,0,0,0,0,0,1,1,1,0,No,
,6946057,2 GENEVA AV,,2018-008717PRJ,ADU,R,2018-06-14,0,0,0,0,0,1,0,1,1,0,No,
,6946057,2 GENEVA AV,,2018-008717PRJ,ADU,R,2018-06-27,0,0,0,0,0,1,0,1,1,0,No,
,1204032,1359 HAYES ST,,2018-009103PRJ,ADU,R,2018-05-17,0,0,0,0,0,1,0,1,1,0,No,
,1431032,248 03RD AV,,2018-009945PRJ,ADU,R,2018-07-05,0,0,0,0,0,1,0,1,1,0,No,
,1431032,248 03RD AV,,2018-009945PRJ,ADU,R,2018-07-05,0,0,0,0,0,1,0,1,1,0,No,
,0114034,379 UNION ST,,2018-011294PRJ,ADU,R,2018-08-16,0,0,0,0,0,1,0,1,1,0,No,
,4971006,922 JAMESTOWN AV,,2018-012820PRJ,SFD,O,2018-09-14,0,0,0,0,0,0,1,1,1,0,No,
,1860A007,1557 FUNSTON AV,,2018-013234PRJ,SFD,O,2018-09-25,0,0,0,0,0,0,1,1,1,0,No,
,6763001,89 NORDHOFF ST,,2018-015554PRJ,SFD,O,2018-11-14,0,0,0,0,0,0,1,1,1,0,No,
,6763001,89 NORDHOFF ST,,2018-015554PRJ,SFD,O,2018-11-14,0,0,0,0,0,0,1,1,1,0,No,
,0588019,2373 PACIFIC AV,,2018-017043PRJ,ADU,R,2018-12-19,0,0,0,0,0,1,0,1,1,0,No,
,0588019,2373 PACIFIC AV,,2018-017043PRJ,ADU,R,2018-12-19,0,0,0,0,0,1,0,1,1,0,No,
,2123A017,445 ORTEGA ST,,2018-017222PRJ,SFD,O,2018-12-14,0,0,0,0,0,0,1,1,1,0,No,
,2123A017,445 ORTEGA ST,,2018-017222PRJ,SFD,O,2018-12-14,0,0,0,0,0,0,1,1,1,0,No,
,2123A017,445 ORTEGA ST,,2018-017222PRJ,SFD,O,2018-12-14,0,0,0,0,0,0,1,1,1,0,No,
