APN_old,APN,address,project_name,jurisdiction_id,unit,tenure,date_submit,vli_dr,vli_ndr,li_dr,li_ndr,mi_dr,mi_ndr,ami,proposed,approved,disapproved,SB35,notes
,014 126902300,"5651 OAK GROVE AVE, Oakland, CA 94618",,DRX180573,ADU,R,2018-06-29 11:27:06,0,0,0,0,0,0,1,1,1,0,No,
,015 128205300,"831 ARLINGTON AVE, Oakland, CA 94608",,DRX180574,ADU,R,2018-07-11 13:06:53,0,0,0,0,0,0,1,1,1,0,No,
,015 128401000,"864 56TH ST, Oakland, CA 94608",,DRX180587,ADU,R,2018-02-06 15:05:34,0,0,0,0,0,0,1,1,1,0,No,
,015 129202700,"935 ARLINGTON AVE, Oakland, CA 94608",,DRX180589,ADU,R,2018-11-02 09:39:38,0,0,0,0,0,0,1,1,1,0,No,
,015 130301300,"1038 57TH ST, Oakland, CA 94608",,DRX180591,ADU,R,2018-12-20 16:06:23,0,0,0,0,0,0,1,1,1,0,No,
,015 130302100,"1045 ARLINGTON AVE, Oakland, CA 94608",,DRX180594,ADU,R,2018-04-06 14:51:41,0,0,0,0,0,0,1,1,1,0,No,
,015 130302600,"1027 ARLINGTON AVE, Oakland, CA 94608",,DRX180600,ADU,R,2018-07-18 13:50:53,0,0,0,0,0,0,1,1,1,0,No,
,015 130600700,"1058 AILEEN ST, Oakland, CA 94608",,DRX180602,ADU,R,2018-09-11 10:45:42,0,0,0,0,0,0,1,1,1,0,No,
,015 131000106,"1161 STANFORD, Oakland, CA 94608",,DRX180611,ADU,R,2018-11-30 10:59:44,0,0,0,0,0,0,1,1,1,0,No,
,015 131000500,"5553 MARSHALL ST, Oakland, CA 94608",,DRX180615,ADU,R,2018-04-16 15:52:46,0,0,0,0,0,0,1,1,1,0,No,
,015 134301200,"950 60TH ST, Oakland, CA 94608",,DRX180622,ADU,R,2018-06-21 10:01:40,0,0,0,0,0,0,1,1,1,0,No,
,015 134903601,5838 OCCIDENTAL ST,,PLN18034,SFD,O,2018-02-17 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,015 136002900,"681 61ST ST, Oakland, CA 94609",,DRX180635,ADU,R,2018-12-13 08:54:10,0,0,0,0,0,0,1,1,1,0,No,
,015 136203500,"665 62ND ST, Oakland, CA 94609",,DRX180640,ADU,R,2018-03-23 14:29:57,0,0,0,0,0,0,1,1,1,0,No,
,015 136303600,"663 63RD ST, Oakland, CA 94609",,DRX180646,ADU,R,2018-02-23 09:56:44,0,0,0,0,0,0,1,1,1,0,No,
,015 137000300,"635 59TH ST, Oakland, CA 94609",,DRX180652,ADU,R,2018-05-24 15:21:36,0,0,0,0,0,0,1,1,1,0,No,
,015 137000500,"627 59TH ST, Oakland, CA 94609",,DRX180662,ADU,R,2018-03-13 14:03:47,0,0,0,0,0,0,1,1,1,0,No,
,015 137803200,647 ALCATRAZ AVE,,PLN18174,SFD,O,2018-05-12 00:00:00,0,0,0,0,0,0,1,1,1,0,No,
,016 139200800,"428 62ND ST, Oakland, CA 94609",,DRX180666,ADU,R,2018-08-21 09:39:33,0,0,0,0,0,0,1,1,1,0,No,
,016 140000200,"431 NORTH ST, Oakland, CA 94609",,DRX180677,ADU,R,2018-03-01 12:29:25,0,0,0,0,0,0,1,1,1,0,No,
,016 140303800,"6201 HILLEGASS AVE, Oakland, CA 94618",,DRX180679,ADU,R,2018-04-17 14:21:28,0,0,0,0,0,0,1,1,1,0,No,
,016 141000800,"6474 BENVENUE AVE, Oakland, CA 94618",,DRX180698,ADU,R,2018-01-19 16:01:25,0,0,0,0,0,0,1,1,1,0,No,
,016 141100400,"2610 WOOLSEY ST, Oakland, CA 94608",,DRX180704,ADU,R,2018-05-25 08:32:20,0,0,0,0,0,0,1,1,1,0,No,
,016 143000300,"6619 TREMONT ST, Oakland, CA 94609",,DRX180705,ADU,R,2018-07-30 10:51:15,0,0,0,0,0,0,1,1,1,0,No,
,016 143901000,"976 63RD ST, Oakland, CA 94608",,DRX180708,ADU,R,2018-03-29 09:56:34,0,0,0,0,0,0,1,1,1,0,No,
,016 144901300,"1052 ALCATRAZ AVE, Oakland, CA 94608",,DRX180712,ADU,R,2018-01-12 14:17:48,0,0,0,0,0,0,1,1,1,0,No,
,016 145300502,"1078 65TH ST, Oakland, CA 94608",,DRX180718,ADU,R,2018-08-14 14:43:30,0,0,0,0,0,0,1,1,1,0,No,
,020 016601900,"1546 16TH AVE, Oakland, CA 94606",,DRX180728,ADU,R,2018-07-12 10:33:58,0,0,0,0,0,0,1,1,1,0,No,
,020 019901401,"2020 FOOTHILL BLVD, Oakland, CA 94606",,DRX180733,ADU,R,2018-06-29 08:20:22,0,0,0,0,0,0,1,1,1,0,No,
,020 021400700,"1731 13TH AVE, Oakland, CA 94606",,DRX180745,ADU,R,2018-10-11 10:24:05,0,0,0,0,0,0,1,1,1,0,No,
,021 025101600,"2320 E 20TH ST, Oakland, CA 94601",,DRX180754,ADU,R,2018-10-30 13:47:51,0,0,0,0,0,0,1,1,1,0,No,
,021 026400900,"2007 12TH AVE, Oakland, CA 94606",,DRX180767,ADU,R,2018-04-23 13:48:16,0,0,0,0,0,0,1,1,1,0,No,
,021 026600200,"1031 E 20TH ST, Oakland, CA 94606",,DRX180785,ADU,R,2018-06-22 12:10:20,0,0,0,0,0,0,1,1,1,0,No,
,021 11029002100,"2114 19th AVE, OAKLAND, CA 94606",,DRX180793,ADU,R,2018-02-01 14:24:17,0,0,0,0,0,0,1,1,1,0,No,
